objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
fgcu_bhs_0130,fgcu_bhs_0130.jpg,,Dunbar Elementary 6th Grade Graduation,image/jpeg,"Students posed in bleachers for 6th Grade Graduation, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.",,,,,single-page; photographs,African American students; Elementary; Photography; Gradutes,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
fgcu_bhs_0131,fgcu_bhs_0131.jpg ,,Dunbar Elementary Safety Patrols with Principal Elizabeth Stallsworth,image/jpeg,"Students posed with principal for Safety Patrol, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","Douglas, Thomas, Abraham, White, Nathaniel, Jones, Fuller, Steele, Jackie, Sims, Bobbye, Rogers, Druncilla, Stallsworth, Rogers, Scurry, Collington, Gloria Jean, Williams, Smith, Carolyn, Gollman, Stallsworth, Elizabeth G.",,,,single-page; photographs,African American educators; African American students; Elementary school principals,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
fgcu_bhs_0133,fgcu_bhs_0133.jpg,,Dunbar Elementary Future Musicians Club with Ms. Delores Anderson,image/jpeg,"Students posed for Future Musicians Club with Ms. Delores Anderson, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.",,,,,single-page; photographs,African American students; Photography; Elementary school,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
fgcu_bhs_0136,fgcu_bhs_0136.pdf,,Dunbar Elementary School May Day Activity Pamphlet,application/pdf,"Activity Program for Dunbar Elementary May Day, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.",,,1961-05-01,,single-page; pamphlet,African American elementary schools; African American teachers; Elementary school teachers,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Text,eng,
fgcu_bhs_0138,fgcu_bhs_0138.jpg,,Dunbar Elementary Future Doctor's Club with Mr. Lemore C. Mingo,image/jpeg,"Students posed for Future Doctor's Club with Mr. Lemore C. Mingo, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.",,,,,single-page; photographs,African American elementary schools; African American students; Portrait photography,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
fgcu_bhs_0139,fgcu_bhs_0139.jpg,,Dunbar Elementary Future Physical Education Club with Ms. Julia Landrum,image/jpeg,"Students posed for physical education club with Ms. Julia Landrum, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","Landrum, Julia, Chaney, Larry, Agent Jr., George, Douglas, Henderson, Snyder, James, Smith, Ronald, Swan, Mike, Synder, Brown, Charlie, Brown, Gernavis",,,,single-page; photographs,African American elementary schools; African American students; Physical education and training,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
fgcu_bhs_0141,fgcu_bhs_0141.jpg,,Dunbar Elementary The Student Council and Patrol Club,image/jpeg,"Students posed for The Student Council and Patrol Club, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","Mingo, Lemore C.",,,,single-page;photographs,African American elementary schools; African American students; Portrait photography,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image ,eng,
fgcu_bhs_0143,fgcu_bhs_0143.jpg,,Dunbar Elementary The Future Secretaries Club with Ms. Paulette Hightower,image/jpeg,"Students posed for the Future Secretaries Club with Ms. Paulette Hightower, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","Hightower, Paulette H., McCray, Sug, Thomas, Abraham, Smith, Carolyn, Hall, Janie, Grimsley, Ann Will, Idlette, Mary, Mims, Thelma",,,,single-page; photographs,African American elementary schools; African American school children; Portrait photography,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
fgcu_bhs_0147,fgcu_bhs_0147.jpg,,Dunbar Elementary The Future Social Workers Club with Mrs. Ida Davies,image/jpeg,"Students posed for the Future Social Workers Club with Mrs. Ida Davies, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","Davies, Ida, Everett, Sims, Barbara, Way, Hope",,,,single-page;photographs,African American students; Clubs; Portrait photography,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image ,eng,
fgcu_bhs_0148,fgcu_bhs_0148.jpg,,Dunbar Elementary Cub Scouts with Mrs. Lossie Pearson,image/jpeg,"Students posed for the Cub Scouts with Mrs. Lossie Pearson, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","Pearson, Lossie M., Black, Kier, Teal, Chester, Fields, Bennett, Frank",,,,single-page;photographs,Cub Scouts; Portrait photography; Children--Societies and clubs,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image ,eng,
fgcu_bhs_0150,fgcu_bhs_0150.jpg,,Dunbar Elementary Brownie Scouts with Mrs. Lossie Pearson,image/jpeg,"Students posed for The Brownie Scouts with Mrs. Lossie Pearson, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","Students posed for The Brownie Scouts with Mrs. Lossie Pearson, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.",,,,single-page; photographs,Brownie Girl Scouts; African American students; Photo photography,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
fgcu_bhs_0153,fgcu_bhs_0153.jpg,,Dunbar Elementary 3rd Grade Train Trip to Sand Mountain,image/jpeg,"Students posed in front of train car for 3rd grade trip to Sand Mountain Fort Meade, Fla, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","Canady, Evelyn Sams",,,,single-page; photographs,African Ameican students; Railroad trains; School field trips,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
fgcu_bhs_0157,fgcu_bhs_0157.jpg,,Dunbar Elementary Students at Train Car,image/jpeg,"Children posed at front of train car, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.",,,1951,,single-page; photographs,African American children; Railroad trains; Portrait photography,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
fgcu_bhs_0163,fgcu_bhs_0163.jpg,,1968-69 Dunbar Elementary School Queen Stephanie Stephens with Lorenza Young,image/jpeg,"Newspaper clipping of Stephanie Stephens with Lorenza Young for Dunbar Elementary School Queen, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","Stephens, Stephanie, Young, Lorenza,",,1968,,single-page; photographs,Newspaper; African American women; Portrait photography,"(Lee County, Fla.); Fort Myers (Fla.)",,,News-Press,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
fgcu_bhs_0181,fgcu_bhs_0181.jpg,,Dunbar Elementary School Photos for Six Children,image/jpeg,"School photos for six children, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","Henry, Alice, Idlette, Marie, McCray, Zynan, Hunt, Julia, Ross, William, Walker, Aundrey",,,,single-page; photographs,Portrait photography; African American students; African American schools,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
fgcu_bhs_0182,fgcu_bhs_0182.jpg,,Dunbar Elementary School Play,image/jpeg,"School play at Dunbar Elementary, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.",,,1965-12-01,,single-page; photographs,School plays; Plays for children; African American elementary students,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
fgcu_bhs_0185,fgcu_bhs_0185.jpg,,Dunbar Elementary School Future Writers and Poets Club with Mr. Marvin Davies,image/jpeg,"Students posed for The Future Writers and Poets Club with Mr. Marvin Davies, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","Davies, Marvin, McCray, Zynan, Butter, James, Jackson, Elaine, Ingram, Dorothy, Seward, Linda",,,,single-page; photographs,Education; Clubs; African American students; Photography,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng,
fgcu_bhs_0207,fgcu_bhs_0207.jpg,,Dunbar Elementary Future Artists Club with Ms. Constnace Barber,image/jpeg,"Students posed for the Future Artists Club with Ms. Constance Barber, Physical materials included in the Lee County Black History Society digital collection can be found at the Lee County Black History Society, Fort Myers, FL.","Barber, Constance",,,,single-page;photographs,African American school children; Portrait photography; African American adults,"(Lee County, Fla.); Fort Myers (Fla.)",,,,"University Archives and Special Collections, Florida Gulf Coast University, Fort Myers, Florida, USA","Lee County Black History Society, Fort Myers, Florida, USA",,,,In Copyright – Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/,Image,eng ,
